Дата,Температура (день),Давление (день),Облачность (день),Ветер (день),Температура (вечер),Давление (вечер),Облачность (вечер),Ветер (вечер)
2019-01-1,-18,758,Пасмурно,В 3м/с,-15,757,Пасмурно,В 3м/с
2019-01-2,-6,757,Пасмурно,Ю 2м/с,-6,757,Пасмурно,Ю 2м/с
2019-01-3,-7,758,Пасмурно,В 3м/с,-8,758,Пасмурно,В 3м/с
2019-01-4,-9,755,Пасмурно,В 2м/с,-8,753,Пасмурно,В 2м/с
2019-01-5,-10,744,Пасмурно,В 3м/с,-5,742,Пасмурно,В 3м/с
2019-01-6,-8,749,Малооблачно,З 2м/с,-12,752,Ясно,З 2м/с
2019-01-7,-15,753,Ясно,СЗ 2м/с,-17,753,Ясно,СЗ 2м/с
2019-01-8,-17,750,Ясно,З 3м/с,-18,750,Ясно,З 3м/с
2019-01-9,-14,754,Пасмурно,З 2м/с,-12,755,Переменная облачность,З 2м/с
2019-01-10,-9,758,Пасмурно,З 1м/с,-9,758,Пасмурно,З 1м/с
2019-01-11,-12,754,Переменная облачность,В 2м/с,-12,751,Малооблачно,В 2м/с
2019-01-12,0,737,Пасмурно,Ю 2м/с,0,735,Пасмурно,Ю 2м/с
2019-01-13,-8,740,Пасмурно,ЮЗ 2м/с,-8,740,Переменная облачность,ЮЗ 2м/с
2019-01-14,-9,743,Переменная облачность,Ю 1м/с,-8,745,Пасмурно,Ю 1м/с
2019-01-15,-3,744,Пасмурно,Ю 4м/с,-2,745,Пасмурно,Ю 4м/с
2019-01-16,-4,740,Переменная облачность,В 4м/с,-3,739,Пасмурно,В 4м/с
2019-01-17,-7,746,Переменная облачность,СЗ 1м/с,-8,749,Малооблачно,СЗ 1м/с
2019-01-18,-8,747,Пасмурно,ЮЗ 3м/с,-6,748,Пасмурно,ЮЗ 3м/с
2019-01-19,-2,746,Пасмурно,Ю 1м/с,-1,744,Нет данных,Ю 1м/с
2019-01-20,-7,750,Пасмурно,З 1м/с,-11,752,Ясно,З 1м/с
2019-01-21,-10,750,Пасмурно,Ю 2м/с,-9,746,Пасмурно,Ю 2м/с
2019-01-22,-11,747,Ясно,ЮЗ 2м/с,-15,750,Переменная облачность,ЮЗ 2м/с
2019-01-23,-18,756,Ясно,З 1м/с,-21,758,Ясно,З 1м/с
2019-01-24,-20,757,Пасмурно,В 3м/с,-14,749,Пасмурно,В 3м/с
2019-01-25,-13,753,Ясно,СЗ 2м/с,-19,757,Ясно,СЗ 2м/с
2019-01-26,-16,761,Пасмурно,В 2м/с,-20,761,Ясно,В 2м/с
2019-01-27,-13,755,Малооблачно,В 5м/с,-13,755,Малооблачно,В 5м/с
2019-01-28,-11,755,Ясно,В 4м/с,-10,752,Ясно,В 4м/с
2019-01-29,-9,751,Пасмурно,СВ 1м/с,-9,752,Пасмурно,СВ 1м/с
2019-01-30,-6,755,Ясно,СЗ 1м/с,-13,756,Ясно,СЗ 1м/с
2019-01-31,-7,758,Пасмурно,В 2м/с,-7,758,Пасмурно,В 2м/с
2019-02-1,-8,758,Ясно,Ю 1м/с,-13,758,Малооблачно,Ю 1м/с
2019-02-2,-11,757,Пасмурно,З 1м/с,-12,757,Малооблачно,З 1м/с
2019-02-3,-10,758,Пасмурно,Ю 1м/с,-11,758,Пасмурно,Ю 1м/с
2019-02-4,-5,758,Пасмурно,Ш,-6,760,Пасмурно,Ш
2019-02-5,-11,761,Пасмурно,В 4м/с,-13,761,Пасмурно,В 4м/с
2019-02-6,-11,761,Ясно,В 2м/с,-11,760,Малооблачно,В 2м/с
2019-02-7,-8,749,Пасмурно,В 3м/с,-7,748,Пасмурно,В 3м/с
2019-02-8,-4,756,Пасмурно,СЗ 2м/с,-5,757,Пасмурно,СЗ 2м/с
2019-02-9,-6,758,Ясно,З 2м/с,-8,758,Переменная облачность,З 2м/с
2019-02-10,-8,757,Ясно,ЮЗ 1м/с,-13,757,Ясно,ЮЗ 1м/с
2019-02-11,-8,758,Ясно,Ю 1м/с,-13,759,Ясно,Ю 1м/с
2019-02-12,-7,760,Ясно,Ю 1м/с,-14,760,Ясно,Ю 1м/с
2019-02-13,-10,758,Пасмурно,В 3м/с,-12,756,Ясно,В 3м/с
2019-02-14,-7,752,Переменная облачность,ЮЗ 2м/с,-6,753,Пасмурно,ЮЗ 2м/с
2019-02-15,-5,749,Малооблачно,ЮЗ 2м/с,-6,743,Пасмурно,ЮЗ 2м/с
2019-02-16,+2,740,Пасмурно,З 2м/с,0,740,Пасмурно,З 2м/с
2019-02-17,-1,734,Ясно,ЮЗ 2м/с,-2,729,Пасмурно,ЮЗ 2м/с
2019-02-18,-1,729,Пасмурно,С 2м/с,-6,734,Пасмурно,С 2м/с
2019-02-19,-10,746,Ясно,СЗ 4м/с,-10,747,Пасмурно,СЗ 4м/с
2019-02-20,-3,745,Ясно,ЮЗ 2м/с,-4,744,Переменная облачность,ЮЗ 2м/с
2019-02-21,-5,742,Пасмурно,Ю 2м/с,-2,740,Пасмурно,Ю 2м/с
2019-02-22,-4,741,Пасмурно,ЮЗ 3м/с,-7,746,Пасмурно,ЮЗ 3м/с
2019-02-23,-7,755,Пасмурно,СЗ 2м/с,-9,756,Пасмурно,СЗ 2м/с
2019-02-24,-9,755,Ясно,З 2м/с,-11,753,Малооблачно,З 2м/с
2019-02-25,-8,746,Переменная облачность,ЮВ 1м/с,-8,743,Пасмурно,ЮВ 1м/с
2019-02-26,-5,739,Пасмурно,В 3м/с,-6,740,Пасмурно,В 3м/с
2019-02-27,-4,743,Пасмурно,В 2м/с,-6,742,Пасмурно,В 2м/с
2019-02-28,-2,734,Пасмурно,ЮЗ 2м/с,-1,732,Пасмурно,ЮЗ 2м/с
2019-03-1,-2,729,Пасмурно,ЮВ 2м/с,-1,728,Пасмурно,ЮВ 2м/с
2019-03-2,-2,728,Пасмурно,С 2м/с,-6,731,Переменная облачность,С 2м/с
2019-03-3,-4,740,Ясно,З 2м/с,-7,739,Пасмурно,З 2м/с
2019-03-4,-2,738,Малооблачно,З 3м/с,-5,739,Переменная облачность,З 3м/с
2019-03-5,-3,743,Пасмурно,ЮВ 2м/с,+1,741,Пасмурно,ЮВ 2м/с
2019-03-6,+4,739,Малооблачно,ЮЗ 3м/с,+2,740,Пасмурно,ЮЗ 3м/с
2019-03-7,-3,757,Ясно,С 2м/с,-11,760,Ясно,С 2м/с
2019-03-8,-5,761,Малооблачно,Ю 2м/с,-8,759,Пасмурно,Ю 2м/с
2019-03-9,0,749,Пасмурно,Ю 3м/с,+2,748,Пасмурно,Ю 3м/с
2019-03-10,+1,746,Нет данных,В 2м/с,+1,743,Пасмурно,В 2м/с
2019-03-11,+2,736,Пасмурно,ЮВ 3м/с,+1,734,Нет данных,ЮВ 3м/с
2019-03-12,+2,739,Пасмурно,З 4м/с,0,745,Малооблачно,З 4м/с
2019-03-13,+1,747,Переменная облачность,ЮВ 1м/с,-1,746,Ясно,ЮВ 1м/с
2019-03-14,0,747,Переменная облачность,СЗ 2м/с,-4,752,Ясно,СЗ 2м/с
2019-03-15,0,755,Ясно,ЮЗ 1м/с,-4,755,Ясно,ЮЗ 1м/с
2019-03-16,0,752,Малооблачно,В 4м/с,-3,752,Пасмурно,В 4м/с
2019-03-17,+1,752,Пасмурно,В 2м/с,-2,754,Пасмурно,В 2м/с
2019-03-18,+5,757,Переменная облачность,С 1м/с,-1,758,Ясно,С 1м/с
2019-03-19,+6,758,Ясно,З 2м/с,-1,758,Ясно,З 2м/с
2019-03-20,+7,756,Ясно,З 1м/с,+2,755,Ясно,З 1м/с
2019-03-21,+4,752,Пасмурно,Ш,+1,751,Пасмурно,Ш
2019-03-22,+1,748,Пасмурно,В 2м/с,0,746,Пасмурно,В 2м/с
2019-03-23,+3,751,Малооблачно,В 1м/с,0,752,Ясно,В 1м/с
2019-03-24,+1,750,Малооблачно,В 3м/с,+1,746,Переменная облачность,В 3м/с
2019-03-25,+1,737,Пасмурно,ЮЗ 4м/с,+1,742,Пасмурно,ЮЗ 4м/с
2019-03-26,+5,749,Ясно,Ю 2м/с,+3,748,Пасмурно,Ю 2м/с
2019-03-27,+5,750,Ясно,Ю 2м/с,+2,750,Малооблачно,Ю 2м/с
2019-03-28,+3,746,Пасмурно,СЗ 1м/с,0,746,Пасмурно,СЗ 1м/с
2019-03-29,+3,747,Ясно,ЮЗ 3м/с,-1,749,Ясно,ЮЗ 3м/с
2019-03-30,+1,749,Ясно,ЮЗ 3м/с,0,748,Пасмурно,ЮЗ 3м/с
2019-03-31,+7,749,Ясно,З 2м/с,+4,749,Ясно,З 2м/с
2019-04-1,+8,748,Ясно,З 3м/с,+6,749,Пасмурно,З 3м/с
2019-04-2,+6,751,Ясно,СВ 2м/с,+3,750,Пасмурно,СВ 2м/с
2019-04-3,+2,746,Пасмурно,СВ 3м/с,+2,747,Переменная облачность,СВ 3м/с
2019-04-4,+5,752,Малооблачно,СВ 2м/с,+4,752,Малооблачно,СВ 2м/с
2019-04-5,+6,757,Переменная облачность,З 2м/с,+3,758,Малооблачно,З 2м/с
2019-04-6,+7,760,Пасмурно,В 2м/с,+6,758,Пасмурно,В 2м/с
2019-04-7,+6,756,Пасмурно,В 2м/с,+6,755,Пасмурно,В 2м/с
2019-04-8,+8,754,Пасмурно,С 1м/с,+7,753,Переменная облачность,С 1м/с
2019-04-9,+14,752,Малооблачно,ЮВ 1м/с,+11,752,Ясно,ЮВ 1м/с
2019-04-10,+18,753,Малооблачно,Ю 1м/с,+15,753,Ясно,Ю 1м/с
2019-04-11,+19,753,Переменная облачность,ЮВ 2м/с,+15,752,Ясно,ЮВ 2м/с
2019-04-12,+20,749,Ясно,ЮВ 1м/с,+16,749,Ясно,ЮВ 1м/с
2019-04-13,+20,746,Переменная облачность,С 2м/с,+11,747,Ясно,С 2м/с
2019-04-14,+11,750,Ясно,СВ 3м/с,+7,752,Ясно,СВ 3м/с
2019-04-15,+12,754,Ясно,СЗ 2м/с,+7,754,Ясно,СЗ 2м/с
2019-04-16,+11,751,Ясно,С 3м/с,+6,752,Малооблачно,С 3м/с
2019-04-17,+5,759,Ясно,С 2м/с,+1,760,Ясно,С 2м/с
2019-04-18,+7,758,Ясно,СВ 2м/с,+4,758,Ясно,СВ 2м/с
2019-04-19,+9,757,Ясно,СЗ 2м/с,+4,757,Ясно,СЗ 2м/с
2019-04-20,+13,756,Малооблачно,З 1м/с,+7,756,Ясно,З 1м/с
2019-04-21,+13,−,Пасмурно,С 3м/с,+9,755,Ясно,С 3м/с
2019-04-22,+16,755,Ясно,С 1м/с,+9,755,Ясно,С 1м/с
2019-04-23,+14,753,Пасмурно,СЗ 3м/с,+10,753,Малооблачно,СЗ 3м/с
2019-04-24,+17,752,Переменная облачность,З 2м/с,+13,751,Ясно,З 2м/с
2019-04-25,+22,750,Ясно,СЗ 2м/с,+16,749,Ясно,СЗ 2м/с
2019-04-26,+18,751,Ясно,С 2м/с,+13,751,Ясно,С 2м/с
2019-04-27,+21,746,Ясно,ЮЗ 3м/с,+19,744,Малооблачно,ЮЗ 3м/с
2019-04-28,+11,740,Пасмурно,С 2м/с,+2,745,Пасмурно,С 2м/с
2019-04-29,+6,751,Пасмурно,С 2м/с,+3,752,Ясно,С 2м/с
2019-04-30,+8,754,Переменная облачность,З 3м/с,+4,753,Ясно,З 3м/с
2019-05-1,+13,752,Переменная облачность,З 2м/с,+10,752,Ясно,З 2м/с
2019-05-2,+12,746,Пасмурно,ЮВ 3м/с,+12,744,Пасмурно,ЮВ 3м/с
2019-05-3,+17,743,Пасмурно,ЮВ 3м/с,+11,743,Пасмурно,ЮВ 3м/с
2019-05-4,+20,749,Ясно,З 2м/с,+14,751,Ясно,З 2м/с
2019-05-5,+18,753,Малооблачно,ЮВ 2м/с,+13,752,Переменная облачность,ЮВ 2м/с
2019-05-6,+24,747,Переменная облачность,ЮВ 1м/с,+20,746,Пасмурно,ЮВ 1м/с
2019-05-7,+19,746,Пасмурно,З 2м/с,+18,746,Пасмурно,З 2м/с
2019-05-8,+25,749,Малооблачно,З 2м/с,+17,749,Ясно,З 2м/с
2019-05-9,+28,749,Переменная облачность,В 2м/с,+24,749,Ясно,В 2м/с
2019-05-10,+30,749,Малооблачно,В 3м/с,+25,749,Ясно,В 3м/с
2019-05-11,+32,750,Переменная облачность,В 2м/с,+26,751,Переменная облачность,В 2м/с
2019-05-12,+32,752,Малооблачно,СВ 1м/с,+24,752,Малооблачно,СВ 1м/с
2019-05-13,+32,750,Малооблачно,СЗ 1м/с,+19,750,Ясно,СЗ 1м/с
2019-05-14,+30,747,Малооблачно,З 2м/с,+19,747,Переменная облачность,З 2м/с
2019-05-15,+26,749,Малооблачно,В 1м/с,+24,749,Переменная облачность,В 1м/с
2019-05-16,+22,747,Переменная облачность,В 3м/с,+17,748,Малооблачно,В 3м/с
2019-05-17,+15,751,Переменная облачность,СЗ 3м/с,+10,751,Ясно,СЗ 3м/с
2019-05-18,+17,745,Пасмурно,З 3м/с,+12,746,Малооблачно,З 3м/с
2019-05-19,+13,746,Малооблачно,С 2м/с,+8,749,Ясно,С 2м/с
2019-05-20,+11,750,Пасмурно,С 2м/с,+7,751,Малооблачно,С 2м/с
2019-05-21,+16,752,Пасмурно,З 3м/с,+10,752,Малооблачно,З 3м/с
2019-05-22,+14,749,Пасмурно,В 3м/с,+13,747,Пасмурно,В 3м/с
2019-05-23,+24,743,Ясно,ЮЗ 4м/с,+19,741,Малооблачно,ЮЗ 4м/с
2019-05-24,+13,746,Переменная облачность,С 2м/с,+9,749,Ясно,С 2м/с
2019-05-25,+15,752,Ясно,З 1м/с,+12,751,Ясно,З 1м/с
2019-05-26,+22,748,Переменная облачность,ЮВ 2м/с,+20,746,Переменная облачность,ЮВ 2м/с
2019-05-27,+25,745,Малооблачно,З 4м/с,+17,747,Ясно,З 4м/с
2019-05-28,+25,750,Малооблачно,С 3м/с,+19,752,Ясно,С 3м/с
2019-05-29,+28,753,Малооблачно,СЗ 3м/с,+19,753,Ясно,СЗ 3м/с
2019-05-30,+30,753,Ясно,ЮЗ 2м/с,+21,752,Ясно,ЮЗ 2м/с
2019-05-31,+30,751,Малооблачно,С 2м/с,+22,750,Ясно,С 2м/с
2019-06-1,+29,747,Ясно,ЮЗ 3м/с,+21,748,Нет данных,ЮЗ 3м/с
2019-06-2,+26,751,Малооблачно,СЗ 2м/с,+22,750,Ясно,СЗ 2м/с
2019-06-3,+27,746,Малооблачно,ЮЗ 3м/с,+21,747,Малооблачно,ЮЗ 3м/с
2019-06-4,+20,753,Ясно,СЗ 3м/с,+16,754,Ясно,СЗ 3м/с
2019-06-5,+24,755,Ясно,СЗ 2м/с,+21,754,Ясно,СЗ 2м/с
2019-06-6,+27,752,Ясно,З 3м/с,+23,751,Переменная облачность,З 3м/с
2019-06-7,+24,754,Ясно,С 2м/с,+19,754,Ясно,С 2м/с
2019-06-8,+25,753,Ясно,С 3м/с,+19,755,Ясно,С 3м/с
2019-06-9,+25,756,Ясно,СЗ 2м/с,+21,755,Ясно,СЗ 2м/с
2019-06-10,+28,754,Ясно,З 2м/с,+20,753,Ясно,З 2м/с
2019-06-11,+32,751,Малооблачно,З 2м/с,+25,751,Ясно,З 2м/с
2019-06-12,+28,749,Малооблачно,СЗ 3м/с,+24,748,Ясно,СЗ 3м/с
2019-06-13,+18,752,Ясно,С 2м/с,+14,753,Ясно,С 2м/с
2019-06-14,+20,751,Малооблачно,СЗ 2м/с,+12,749,Переменная облачность,СЗ 2м/с
2019-06-15,+20,748,Переменная облачность,З 2м/с,+15,747,Ясно,З 2м/с
2019-06-16,+21,746,Малооблачно,З 2м/с,+14,746,Ясно,З 2м/с
2019-06-17,+24,746,Переменная облачность,СЗ 2м/с,+17,746,Ясно,СЗ 2м/с
2019-06-18,+26,746,Малооблачно,СЗ 2м/с,+21,746,Малооблачно,СЗ 2м/с
2019-06-19,+22,746,Пасмурно,СВ 3м/с,+18,746,Малооблачно,СВ 3м/с
2019-06-20,+29,748,Пасмурно,СЗ 2м/с,+22,749,Ясно,СЗ 2м/с
2019-06-21,+30,751,Малооблачно,СЗ 2м/с,+25,752,Малооблачно,СЗ 2м/с
